BlockItemType,Id,Hash,Count,Size,Name
ModelBlockItem,0,b1e3f0228d9e02bb6a37b5575b39dbffe81edc60,323,20225464,_default
ModelBlockItem,1,329a23abc2df534f0981e876d81f068c5e7ebc1a,307,12372816,n64_eu-jp
ModelBlockItem,2,fcadc43fd32017950fb2197fa8a6b0722f26276a,307,12406512,n64_us
ModelBlockItem,3,b7b73e6d4a77c825d63862e37c6c6d0bda2295d9,300,8955568,win-demo
SplineBlockItem,0,d0a4cba4a5b2c5f0cebc2dd7f69693cf20336631,91,428212,_default
SplineBlockItem,1,a18f0c66301cf0e11feedafadc1b374fa3b40ed6,91,428212,n64
SpriteBlockItem,0,515024ceb680b2f6d787e2f03993945976485b64,179,1002760,_default
SpriteBlockItem,1,b8d713c03bf8b6bf1b67dfdfce3b72ad0ab2a587,182,1026696,n64_jp
SpriteBlockItem,2,206763a462c13a393eddc15c8bf8c4cfb5141996,173,973328,n64_us
SpriteBlockItem,3,f40c703d4f46a8161d5ee56373a34b7421a6198a,181,1023912,win_de__mac__dc
SpriteBlockItem,4,b919344f55e6e33d415f14dcc04865151e1decff,181,1023912,win-demo
TextureBlockItem,0,aae2c0ef87ad775407d72c8562203b5757d524a1,1648,2731208,_default
TextureBlockItem,1,9130090c3ceafff6ed05609045909f54f666e54f,1648,2741112,n64
TextureBlockItem,2,67ed09e0fa2d59c81094030e897f31fe7111adc0,1648,2725048,win-demo
